shooter_num,roll_number,dice,total,phase,point
1,1,"[6, 5]",11,come-out,
1,2,"[2, 1]",3,come-out,
1,3,"[4, 2]",6,come-out,
1,4,"[3, 3]",6,point,6
1,5,"[5, 5]",10,come-out,
1,6,"[3, 2]",5,point,10
1,7,"[2, 5]",7,point,10
2,8,"[5, 3]",8,come-out,
2,9,"[4, 4]",8,point,8
2,10,"[5, 5]",10,come-out,
2,11,"[5, 5]",10,point,10
2,12,"[6, 3]",9,come-out,
2,13,"[3, 6]",9,point,9
2,14,"[3, 4]",7,come-out,
2,15,"[1, 6]",7,come-out,
2,16,"[6, 2]",8,come-out,
2,17,"[2, 2]",4,point,8
2,18,"[5, 3]",8,point,8
2,19,"[5, 4]",9,come-out,
2,20,"[1, 6]",7,point,9
3,21,"[6, 3]",9,come-out,
3,22,"[3, 6]",9,point,9
3,23,"[1, 2]",3,come-out,
3,24,"[6, 3]",9,come-out,
3,25,"[1, 5]",6,point,9
3,26,"[6, 3]",9,point,9
3,27,"[6, 1]",7,come-out,
3,28,"[4, 3]",7,come-out,
3,29,"[6, 6]",12,come-out,
3,30,"[2, 6]",8,come-out,
3,31,"[4, 6]",10,point,8
3,32,"[5, 3]",8,point,8
3,33,"[1, 2]",3,come-out,
3,34,"[1, 3]",4,come-out,
3,35,"[5, 6]",11,point,4
3,36,"[2, 2]",4,point,4
3,37,"[3, 1]",4,come-out,
3,38,"[4, 5]",9,point,4
3,39,"[3, 2]",5,point,4
3,40,"[5, 2]",7,point,4
4,41,"[5, 3]",8,come-out,
4,42,"[6, 2]",8,point,8
4,43,"[3, 1]",4,come-out,
4,44,"[6, 2]",8,point,4
4,45,"[1, 2]",3,point,4
4,46,"[4, 4]",8,point,4
4,47,"[2, 6]",8,point,4
4,48,"[1, 1]",2,point,4
4,49,"[1, 6]",7,point,4
5,50,"[3, 2]",5,come-out,
5,51,"[6, 1]",7,point,5
6,52,"[2, 5]",7,come-out,
6,53,"[5, 6]",11,come-out,
6,54,"[6, 4]",10,come-out,
6,55,"[4, 1]",5,point,10
6,56,"[5, 3]",8,point,10
6,57,"[5, 2]",7,point,10
7,58,"[3, 5]",8,come-out,
7,59,"[2, 2]",4,point,8
7,60,"[2, 4]",6,point,8
7,61,"[5, 1]",6,point,8
7,62,"[1, 6]",7,point,8
8,63,"[1, 1]",2,come-out,
8,64,"[2, 1]",3,come-out,
8,65,"[6, 3]",9,come-out,
8,66,"[6, 5]",11,point,9
8,67,"[4, 4]",8,point,9
8,68,"[1, 4]",5,point,9
8,69,"[1, 4]",5,point,9
8,70,"[1, 5]",6,point,9
8,71,"[4, 2]",6,point,9
8,72,"[3, 6]",9,point,9
8,73,"[3, 4]",7,come-out,
8,74,"[4, 4]",8,come-out,
8,75,"[1, 2]",3,point,8
8,76,"[2, 6]",8,point,8
8,77,"[4, 6]",10,come-out,
8,78,"[1, 4]",5,point,10
8,79,"[5, 3]",8,point,10
8,80,"[2, 4]",6,point,10
8,81,"[4, 6]",10,point,10
8,82,"[1, 6]",7,come-out,
8,83,"[2, 6]",8,come-out,
8,84,"[2, 6]",8,point,8
8,85,"[4, 3]",7,come-out,
8,86,"[4, 1]",5,come-out,
8,87,"[5, 5]",10,point,5
8,88,"[1, 6]",7,point,5
9,89,"[6, 1]",7,come-out,
9,90,"[3, 3]",6,come-out,
9,91,"[6, 1]",7,point,6
10,92,"[4, 1]",5,come-out,
10,93,"[1, 2]",3,point,5
10,94,"[2, 3]",5,point,5
10,95,"[2, 1]",3,come-out,
10,96,"[4, 4]",8,come-out,
10,97,"[6, 4]",10,point,8
10,98,"[4, 1]",5,point,8
10,99,"[1, 1]",2,point,8
10,100,"[6, 3]",9,point,8
10,101,"[1, 6]",7,point,8
